Media,title,article
One can debate Sen. Dianne Feinstein's questionable delay or whether Judge Kavanaugh may or may not have participated in some questionable behavior in high school. However, the real issue is whether anyone's stupid behavior in high school or college, short of a violent felony, should be considered when evaluating a person's capability and qualifications for serving in public office or any other position more than 30 years later. Millions of young people have done something stupid or behaved badly during their high school and college years. Most eventually mature and lead exemplary lives thereafter. If we believe in rehabilitation and redemption, we should judge people on their actions during adulthood. If we disqualify every person who behaved stupidly or badly in their youth, we are going to exclude many great people from public life.

Stephan Williams

Worcester, Mass.

---

This is why fewer than 35% of potential voters actually vote.

Nate Sachritz

Portage, Mich."

wsj,"Sen. Feinstein, Clean Up Your Mess","Republicans and others who live in California and are appalled by the Senate's Brett Kavanaugh spectacle at least can do something about it. In November, they can hold their noses and pull the lever for Dianne Feinstein's ultraliberal challenger and thereby send the state's four-term Senate doyenne down to landslide defeat.

Mrs. Feinstein's ending an otherwise a long and creditable career in humiliation and ignominy would be justice not only because of her culpable role in the Kavanaugh travesty. It would be poetic for her to finish under a real and recent cloud given actions that have cast a cloud over Judge Kavanaugh because of unprovable, last-minute claims about how he may have behaved in his teens.

Mrs. Feinstein could learn something from the New York Times in its own debunking of the latest ill-sourced Kavanaugh allegation, in which the paper says it contacted dozens of potential witnesses and found none who would verify a complaint floated Sunday in backhanded fashion by the New Yorker magazine.

Lesson: You don't need the FBI. Private investigators are available. Opposition researchers can be hired -- just not the Fusion GPS kind, who specialize in producing anonymous, unsubstantiated slurs rather than checking them out.

The Senate Judiciary Committee and the Democratic Party have ample resources. In fact, Democrats can still do something to repair the damage, in partnership with Senate Republicans. If Mrs. Feinstein weren't so narrowed by her life in politics that she can't see a bigger picture, she would already have owned up to her failure in this regard and tried to clean up the mess.

After all, she is the ranking Democrat on the Judiciary Committee. She could refuse to participate in Thursday's hearing. She could demand that it be called off. She could point out the obvious: A hearing in the absence of any attempt by the Senate to seek verifiable facts against which to measure the vague memories of accusant Christine Blasey Ford can only be a ""he said, she said"" travesty, a modern-day gladiatorial contest in which tribal loyalty and the loudest shouting will substitute for truth and justice.

Whatever the truth of Mr. Kavanaugh's teenage behavior, this is not a creditworthy exercise in advise and consent. Judge Kavanaugh evidently feels obliged to go along rather than have a refusal be interpreted as guilt. He will be subjected to cross-examination by Senate Democrats in which he will be forced to admit that he drank beer in high school and went to parties. This will be more than enough for Sen. Mazie Hirono, who has already determined that Judge Kavanaugh is a liar because he's a man, and a rapist because as a judge he might uphold democratically enacted restrictions on abortion.

Republicans are stuck playing for the mildest possible political disaster, which means pushing through Judge Kavanaugh's confirmation even while the allegations remain unresolved. But Republicans won't, for fear of increasing their jeopardy with women, subject Ms. Ford to the cross-examination that would be requisite in any truly fact-finding forum. They likely won't even challenge her behavior since the allegations surfaced, which has clearly seemed more aimed at conveniencing Democratic strategy in the midterms than at putting her testimony before the senators so they can assess it.

Mrs. Feinstein so far has behaved as we expect politicians to behave on most occasions: as if there is no consideration higher than what she must do to assure her re-election. But she's 85 years old. She doesn't need another term in the Senate. She doesn't need one more ritual of incumbency validation.

Since the glaring absence here is any context of facts in which her fellow senators can weigh the accusation that Sen. Feinstein allowed to be sprung on Judge Kavanaugh at the last minute, she should be the one to request that the nomination be briefly put on hold. She should propose that Democrats and Republicans jointly sponsor an investigator to take a week or two to question anybody and everybody who might have been present at the alleged party or know anything about the history of Judge Kavanaugh and Ms. Ford.

Mrs. Feinstein could even agree, as a gesture of expiation and good faith, to support Judge Kavanaugh's confirmation if the investigation yields no information to support Ms. Ford's claim.

Failing that, the right thing to do is spare Judge Kavanaugh and Ms. Ford an awful, purposeless hearing that cannot be anything but a disgrace to the Senate. Republicans should vote up or down based on what is on the record. Ms. Ford is free to tell her story to any senator who wants to hear it. She is free to tell it to the media as many times as she wants; she is not being denied a right to be heard. The media are free to chase down every allegation that she or anybody cares to make about Brett Kavanaugh.

All this will not be satisfying, but it wouldn't get more satisfying as the result of Thursday's planned hearing. And at least the Senate will not be an agent of further disgracing itself in the process. Sen. Feinstein is the author of this abomination, whether she meant to be or not, and is the one who ought to call it off."

wsj,GOP Speeds Up Kavanaugh Vote,"The Senate Republican leadership is moving to expedite the final stages of Judge Brett Kavanaugh's nomination to the Supreme Court after Thursday's planned hearing featuring the woman who has accused him of sexual assault when they were teenagers.

The Senate Judiciary Committee has scheduled a vote Friday on Judge Kavanaugh's nomination. Senate Majority Leader Mitch McConnell's office alerted senators they should be prepared to work over the weekend, suggesting the chamber could take a procedural vote that would clear the way for a final, full-Senate vote early next week.

President Trump wants Judge Kavanaugh to take the seat of retired Justice Anthony Kennedy by Oct. 1, the start of the high court's next term. Republican lawmakers are also pressing to fill the lifetime appointment before the November midterm elections in which they are fighting to maintain their majorities in the House and Senate.

""I think that it's going to be pretty hard to move this along without having votes on certainly Friday or Saturday, probably,"" said Sen. Orrin Hatch (R., Utah).

Christine Blasey Ford, the California college professor who has accused the judge of sexually assaulting her when they were in high school during the 1980s, is set to appear Thursday before the Senate Judiciary Committee. Judge Kavanaugh, who has denied Dr. Ford's claims, is also scheduled to appear Thursday before the committee.

Democrats are objecting to Republicans pushing forward on the nomination and vote without first having the Federal Bureau of Investigate Dr. Ford's allegations.

""Republicans are already talking about rushing to a vote -- before we even got to this hearing, before there is an investigation, and while women are sharing more stories,"" Sen. Patty Murray (D., Wash.) said on Twitter.

Committee rules require Chairman Chuck Grassley (R., Iowa) to issue a public notice of a meeting three days in advance. He also has the right to postpone it, which the committee did earlier this week as negotiations for Thursday's hearing showed progress.

Mr. Trump is frustrated by the delay in the vote, a White House official said Tuesday. The president spoke with the Senate majority leader over the weekend, with Mr. McConnell explaining he had to accommodate certain senators who wanted to ensure that Dr. Ford gets a hearing, the official said.

It wasn't clear if Republicans have the 50 votes needed to confirm Judge Kavanaugh. Republicans have a 51-49 majority in the Senate. To prevail, they can afford no more than one defection, assuming all Democratic caucus members oppose the nomination. If they lose one vote, they could then have Vice President Mike Pence break a tie.

""I am not going to speculate on where I am. Our meetings certainly went well. He certainly has the credentials,"" Sen. Susan Collins (R., Maine) said Tuesday. ""But we now have a serious allegation made and I look forward to the hearing on Thursday.""

Earlier Tuesday, the White House said it was open to congressional testimony from a second woman, who has accused Judge Kavanaugh of sexual aggression when he was a college student. There was no indication Senate Republicans would go along with that as a Thursday hearing set to include Dr. Ford and Judge Kavanaugh approached.

""We would be open to that, and that process could take place on Thursday,"" White House spokeswoman Sarah Sanders said on ABC's ""Good Morning America,"" when asked whether the president wanted to hear from Deborah Ramirez, a Yale University classmate of the nominee.

Ms. Ramirez's attorney, John Clune, told CNN on Tuesday that he was in contact with the Judiciary Committee but that Republicans declined to participate in a call until Ms. Ramirez sent more information. He said his client wants the FBI to investigate the allegations first before she provides more details to lawmakers.

Her allegations couldn't be independently verified by The Wall Street Journal. Judge Kavanaugh, who spoke to Senate committee aides about the Ramirez accusation on Tuesday, has denied her claims.

In a Fox News interview Monday, Judge Kavanaugh repeated his denials of Dr. Ford's claims and said, ""I've never sexually assaulted anyone. I did not have sexual intercourse or anything close to sexual intercourse in high school or for many years thereafter.""

Steve Kantrowitz, a Yale classmate who is now a history professor at the University of Wisconsin-Madison, questioned that assertion. He wrote on Twitter Tuesday morning, ""Perhaps Brett Kavanaugh was a virgin for many years after high school. But he claimed otherwise in a conversation with me during our freshman year in Lawrance Hall at Yale, in the living room of my suite.""

Mr. Kantrowitz said via email Tuesday that he posted the tweet because of the importance of ""honest and integrity"" in serving as a justice, and he remembered the conversation because it was surprising. Kerri Kupec, a White House spokeswoman, said Judge Kavanaugh spoke ""honestly and forthrightly"" in the Fox interview.

""The press has been carrying Democrats' and Dr. Ford's narrative,"" a White House official said Tuesday. ""They haven't carried forward the clarity of the judge's denials. We thought having him on TV and presenting that to the country was important. That was the goal and that was what he accomplished.""

After viewing the interview, people close to Judge Kavanaugh's nomination are recommending he show more feistiness in the hearing on Thursday and they have made that point to him."

wsj,"Stark Divide, Raw Emotion --- Kavanaugh and Ford give sharply different accounts at Senate committee hearing","Supreme Court nominee Brett Kavanaugh and Christine Blasey Ford, who accused him of sexual misconduct, testified for a more than eight hours in an often-wrenching hearing Thursday that highlighted and exposed many of the nation's raw divisions.

The hearing, before the Senate Judiciary Committee, laid bare the enormous stakes as the GOP tries to advance a nomination that would tilt the high court to the right and Democrats push for a thorough investigation into sexual-misconduct allegations in the wake of the #MeToo movement. Hovering over the proceedings were the coming November elections, which will determine control of Congress and the Trump administration's ability to advance its agenda.

Shortly after the conclusion of the hearing, President Trump, who has forcefully defended his nominee, described the judge's testimony as ""powerful, honest and riveting"" in a tweet. He also called for the Senate to vote on his nomination and criticized the process as a ""total sham."" Later at a fundraiser, Mr. Trump said Mr. Kavanaugh ""did great.""

The Senate Judiciary Committee is scheduled to vote Friday on the nomination. Republican senators said they expected the full chamber would hold its first procedural vote Saturday, and a final vote is expected early next week.

Judge Kavanaugh, fired up with indignation and frequently fighting back tears, defended his personal reputation against the assault allegations, while taking partisan swipes at the panel's Democrats. ""This confirmation process has become a national disgrace,"" he told the committee. ""You have replaced advice and consent with search and destroy.""

Earlier in the day, Dr. Ford, a California college professor, her voice halting at times, told lawmakers she had been ""haunted by memories"" since the alleged attack at a house party in the summer of 1982, which she said had left her struggling academically and coping with panic and anxiety for decades.

She said she was ""100%"" certain it was Judge Kavanaugh and his friend Mark Judge who pushed her into a room, and that it was the judge who groped her and tried to remove her clothes. Mr. Judge has said he has no memory of the incident. Dr. Ford, 51 years old, said her memory of ""the laughter, the uproarious laughter between the two and their having fun at my expense"" was ""indelible.""

Judge Kavanaugh, 53, has denied the allegations.

All eyes now will be on three Republican senators who have said they are concerned by the allegations and haven't committed to backing Mr. Kavanaugh: Jeff Flake of Arizona, Lisa Murkowski of Alaska and Susan Collins of Maine.

Mr. Flake said late Thursday he was still undecided on the Kavanaugh vote. His position is of more immediate import because he is on the Judiciary Committee. Republicans have an 11-10 advantage on the panel, so a single ""no"" vote means the panel would send Judge Kavanaugh's nomination to the full Senate with a negative recommendation. In the full Senate, Republicans hold a 51-49 advantage, so Judge Kavanaugh can afford no more than one GOP defection if all Democrats vote against him. Ms. Murkowski demurred when asked if she had made up her mind on the nomination. ""I'm going to go home, have some dinner and have a chance to think about all that's gone on today,"" she said.

Democrats on Thursday night reiterated their calls to have the FBI investigate the allegations and force Mr. Judge to testify.

""Dr. Ford provided compelling testimony today, and all of us were reminded this morning that she came forward with nothing to gain and quite a bit to lose,"" Sen. Chris Coons (D., Del.), a member of the Judiciary Committee, said in a statement Thursday night. ""Before the Judiciary Committee moves to a final vote, we should pause for a week to seek further investigation and insight into the allegations against Judge Kavanaugh.""

The hearing was one of the Capitol's landmark moments, evoking the Anita Hill/Clarence Thomas hearings 27 years ago that focused on sexual-harassment claims, and on Thursday television sets and digital screens across the country lit up with the same event. And it wasn't just inside the Beltway: Images shared on social media showed people watching on airplanes, and stock brokers froze to attention at the New York Stock Exchange.

Mr. Trump watched the start of the hearings on Air Force One as he flew back to Washington from United Nations meetings in New York. He watched Judge Kavanaugh in the White House residence.

The two central figures in the showdown, Dr. Ford and Judge Kavanaugh, didn't watch each other's testimony, according to their representatives.

The hearing came just short of one year since the #MeToo movement was launched with the New York Times's first revelations about Hollywood mogul Harvey Weinstein. The movement has cut a swath through the political world, as at least a dozen politicians at the federal level have resigned, lost elections or announced they were retiring in the face of allegations of sexual misconduct.

Republicans avoided attacking Dr. Ford directly and set their aim on Democratic lawmakers, accusing them of withholding information about her allegations until the near-final stages of Judge Kavanaugh's confirmation hearing. In response, Democrats repeatedly pressed Judge Kavanaugh to ask for a full Federal Bureau of Investigation look into the matter. The judge didn't commit to pursuing a further investigation.

Sen. Lindsey Graham (R., S.C.) at one point blasted Democrats and suggested the accusations against the judge were part of a power grab, telling fellow Republicans that if they voted down Judge Kavanaugh, ""You're legitimizing the most despicable thing I have seen in my time in politics.""

In later questioning, Sen. Cory Booker (D., N.J.) cited Mr. Graham's comments in asking Judge Kavanaugh: ""Do you think that people who would believe Dr. Ford are legitimizing despicable things?"" Judge Kavanaugh replied by saying, ""Listen to both sides before you make a bottom-line conclusion.""

At stake in the hearing was the fate of a Supreme Court pick who could deliver a conservative tilt to the court for decades. The near-term political stakes were also high, as Republicans battle to keep their majorities in the House and Senate this fall.

The confirmation of Judge Kavanaugh is the top priority for many GOP voters, with filling the federal bench with conservatives a key reason that even those with reservations about Mr. Trump backed him in 2016. Republicans worry that if they can't deliver confirmation of Judge Kavanaugh, it would demoralize GOP voters and depress turnout in a midterm election where their majority hinges on multiple tossup races.

But Republicans also run the risk of seeming insensitive to women voters who are already defecting in droves to the Democratic Party's candidates. To limit that risk, they delegated the job of questioning Dr. Ford to an outside counsel, Arizona prosecutor Rachel Mitchell, while the Republicans on the panel mostly questioned Judge Kavanaugh themselves."

wsj,"GOP Sticks to Hearing Plan on Nominee --- An attorney for Ford, Kavanaugh's accuser, says more witnesses should be included","WASHINGTON -- Republicans forged ahead with a planned Monday hearing to consider sexual-assault allegations against Supreme Court nominee Brett Kavanaugh and set a deadline of Friday to determine whether his accuser would appear.

White House spokesman Raj Shah said the president won't look at naming any replacement nominee unless there is a clear need. The administration, he said, was going ""full steam ahead"" to support Judge Kavanaugh, who has denied the assault accusations.

GOP leaders in the Senate said they were continuing to seek the testimony of Judge Kavanaugh's accuser, California college professor Christine Blasey Ford. Earlier, Republicans rejected calls from her attorneys and Democrats for an investigation of the allegations as a condition for her appearing at the hearing.

Sen. Chuck Grassley (R., Iowa), chairman of the Judiciary Committee, said the hearing would start at 10 a.m. Monday, and he pressed Dr. Ford to testify. In a letter to her lawyers, he gave her a deadline of 10 a.m. Friday to submit her biography and prepared remarks if she planned to testify.

Lisa Banks, an attorney for Dr. Ford, issued a statement late Wednesday calling for more witnesses to be involved in the hearing -- not just Judge Kavanaugh and Dr. Ford. The statement didn't say whether Dr. Ford would attend the hearing. ""The rush to a hearing is unnecessary, and contrary to the Committee discovering the truth,"" the attorney wrote.

Democrats endorsed Dr. Ford's call for an investigation before a Senate hearing, and they pushed back against what they characterized as a rushed confirmation process.

""Professor Ford's request for an FBI investigation is completely reasonable. Senate Republicans want to rush this hearing and have set an arbitrary deadline for Monday,"" said Sen. Jeanne Shaheen (D., N.H.). ""That's no way to vet these accusations or confirm a lifetime appointment to our highest court.""

Republicans have argued that no further FBI background investigation is needed because such inquiries are designed to gather information in a confidential manner and Dr. Ford's accusations are now public. The Federal Bureau of Investigation could reopen its background investigation of Judge Kavanaugh, but that would be up to President Trump to order the agency to do so -- and he has dismissed the idea.

Republicans have also said Judge Kavanaugh and Dr. Ford are the only necessary witnesses.

Judge Kavanaugh attended meetings at the White House on Monday and Tuesday to prepare for the potential hearing, according to a person familiar with the matter.

It wasn't clear how committed Mr. Trump is to the nomination. A person close to Mr. Trump said the president views Judge Kavanaugh as the pick of outgoing White House counsel Don McGahn and ""won't lose any sleep if he has to choose someone else.""

At the White House on Wednesday, Mr. Trump said he wanted to see Dr. Ford testify but indicated he didn't want to delay the hearing or the nomination for an investigation. Of Judge Kavanaugh, he said: ""He is such an outstanding man. Very hard for me to imagine that anything happened.""

Republican leaders want Judge Kavanaugh confirmed by the start of the Supreme Court session on Oct. 1. They delayed a planned committee vote on the nomination this week and offered to hold the hearing Monday with both Judge Kavanaugh and Dr. Ford. Her legal team initially said she would be willing to testify. But in a letter Tuesday to Mr. Grassley, her attorneys said they would first require ""a full investigation by law-enforcement officials"" to ""ensure that the crucial facts and witnesses in this matter are assessed in a nonpartisan manner.""

Mr. Grassley said committee investigators are following up on allegations and no outside investigation is necessary. He said the committee is ""going to continue to try to hear from Dr. Ford in any format she's comfortable"" with, be it an open session, private staff interviews or public staff interviews, ""because her information is very important.""

Democrats argued that Republicans, by not delaying the process for a further FBI investigation, aren't committed to getting to the bottom of the assault allegation.

""Senate Republicans and the White House should drop their inexplicable opposition to an FBI investigation, allow all the facts to come out, and then proceed with a fair process in the Senate,"" said Sen. Chuck Schumer of New York, the Democratic leader.

The Senate hasn't set a new date for the Judiciary Committee vote, but time is running short ahead of the new Supreme Court session. If the committee vote on the nomination were held Monday, Senate Majority Leader Mitch McConnell could then file for cloture Tuesday. That would start the clock on debate that would then lead to a procedural vote on Thursday and a final, full-Senate confirmation vote by late Friday, Sept. 28, assuming Democrats use all of their allotted time.

The new Supreme Court session will proceed with eight members if Judge Kavanaugh isn't confirmed. If the justices were to split 4-to-4 in a case, they could hold it and have it reargued when a ninth member joins the court.

Republicans hold a 51-49 advantage in the Senate and can only afford to lose one vote if Democrats vote against the nominee as a bloc. At the same time, several red-state Democrats are also seen as potential ""yes"" votes.

On Sunday, Dr. Ford made public her accusations from when she and Judge Kavanaugh were teenagers at a high-school party in the early 1980s. Dr. Ford alleged that Judge Kavanaugh and one of his friends, pulled her into a bedroom, where Judge Kavanaugh pinned her to a bed, groped her and attempted to remove her clothing before she escaped. Judge Kavanaugh has categorically denied the allegations."

wsj,The #MeToo Kavanaugh Ambush,"The woman accusing Brett Kavanaugh of a drunken assault when both were teenagers has now come forward publicly, and on Monday it caused Republicans to delay a confirmation vote and schedule another public hearing. Yet there is no way to confirm her story after 36 years, and to let it stop Mr. Kavanaugh's confirmation would ratify what has all the earmarks of a calculated political ambush.

This is not to say Christine Blasey Ford isn't sincere in what she remembers. In an interview published in the Washington Post on Sunday, Ms. Ford offered a few more details of the story she told anonymously starting in July. She says she was 15 when Mr. Kavanaugh, who would have been 17, and a male friend pushed her into a bedroom at a drinking party, held her down, and pawed her until the male friend jumped on them both and she escaped to a bathroom until the two boys left the room.

Mr. Kavanaugh denies all this ""categorically and unequivocally,"" and there is simply no way to prove it. The only witness to the event is Mr. Kavanaugh's high school male friend, Mark Judge, who also says he recalls no such event. Ms. Ford concedes she told no one about it -- not even a high school girl friend or family member -- until 2012 when she told the story as part of couples therapy with her husband.

The vagaries of memory are well known, all the more so when they emerge in the cauldron of a therapy session to rescue a marriage. Experts know that human beings can come to believe firmly over the years that something happened when it never did or is based on partial truth. Mistaken identity is also possible.

The Post reports that the therapist's notes from 2012 say there were four male assailants, but Ms. Ford says that was a mistake. Ms. Ford also can't recall in whose home the alleged assault took place, how she got there, or how she got home that evening.

This is simply too distant and uncorroborated a story to warrant a new hearing or to delay a vote. We've heard from all three principals, and there are no other witnesses to call. Democrats will use Monday's hearing as a political spectacle to coax Mr. Kavanaugh into looking defensive or angry, and to portray Republicans as anti-women. Odds are it will be a circus.

---

The timing and details of how Ms. Ford came forward, and how her name was coaxed into public view, should also raise red flags about the partisan motives at play. The Post says Ms. Ford contacted the paper via a tip line in July but wanted to remain anonymous. She then brought her story to a Democratic official while still hoping to stay anonymous.

Yet she also then retained a lawyer, Debra Katz, who has a history of Democratic activism and spoke in public defense of Bill Clinton against the accusations by Paula Jones. Ms. Katz urged Ms. Ford to take a polygraph test. The Post says she passed the polygraph, though a polygraph merely shows that she believes the story she is telling.

The more relevant question is why go to such lengths if Ms. Ford really wanted her name to stay a secret? Even this weekend she could have chosen to remain anonymous. These are the actions of someone who was prepared to go public from the beginning if she had to.

The role of Senator Dianne Feinstein is also highly irregular and transparently political. The ranking Democrat on the Judiciary Committee knew about Ms. Ford's accusations in late July or early August yet kept quiet. If she took it seriously, she had multiple opportunities to ask Judge Kavanaugh or have committee staff interview the principals. But in that event the details would have been vetted and Senators would have had time to assess their credibility.

Instead Ms. Feinstein waited until the day before a committee markup on the nomination to release a statement that she had ""information"" about the accusation and had sent it to the FBI. Her statement was a political stunt.

She was seeking to insulate herself from liberal charges that she sat on the letter. Or -- and this seems increasingly likely given the course of events -- Senator Feinstein was holding the story to spring at the last minute in the hope that events would play out as they have. Surely she knew that once word of the accusation was public, the press would pursue the story and Ms. Ford would be identified by name one way or another.

---

Democrats waited until Ms. Ford went public to make public statements. But clearly some were feeding the names of Ms. Ford and her lawyer to the press, and now they are piling on what they hope will be an election-eve #MeToo conflagration.

""Senator [and Judiciary Chairman] Grassley must postpone the vote until, at a very minimum, these serious and credible allegations are thoroughly investigated,"" declared Minority Leader Chuck Schumer on Sunday. ""For too long, when women have made serious allegations of abuse, they have been ignored. That cannot happen in this case.""

His obvious political goal is to delay the confirmation vote past the election, fan the #MeToo political furies until then, and hope that at least two GOP Senators wilt under political pressure. If Republican Senators Jeff Flake and

Bob Corker think a hearing will satisfy Mr. Schumer, they are right to retire from politics.

GOP Senators should understand that the political cost of defeating Mr. Kavanaugh will likely include the loss of the Senate. Democrats are already motivated to vote against Donald Trump, and if Republicans panic now their own voters will rightly be furious. They would be letting Democrats get away with the same dirty trick they tried and failed to pull off against Clarence Thomas.

It would also be a serious injustice to a man who has by all accounts other than Ms. Ford's led a life of respect for women and the law. Every #MeToo miscreant is a repeat offender. The accusation against Mr. Kavanaugh is behavior manifested nowhere else in his life.

No one, including Donald Trump, needs to attack Ms. Ford. She believes what she believes. This is not he said-she said. This is a case of an alleged teenage encounter, partially recalled 30 years later without corroboration, and brought forward to ruin Mr. Kavanaugh's reputation for partisan purposes.

